 sales ,date,region
" $1,638.00 ",06/02/2018,north
" $1,647.00 ",06/02/2018,south
" $1,731.00 ",06/02/2018,east
" $1,557.00 ",06/02/2018,west
" $1,587.00 ",07/02/2018,north
" $1,698.00 ",07/02/2018,south
" $1,542.00 ",07/02/2018,east
" $1,635.00 ",07/02/2018,west
" $1,602.00 ",08/02/2018,north
" $1,536.00 ",08/02/2018,south
" $1,503.00 ",08/02/2018,east
" $1,701.00 ",08/02/2018,west
" $1,758.00 ",09/02/2018,north
" $1,662.00 ",09/02/2018,south
" $1,782.00 ",09/02/2018,east
" $1,515.00 ",09/02/2018,west
" $1,662.00 ",10/02/2018,north
" $1,557.00 ",10/02/2018,south
" $1,650.00 ",10/02/2018,east
" $1,674.00 ",10/02/2018,west
" $1,554.00 ",11/02/2018,north
" $1,587.00 ",11/02/2018,south
" $1,563.00 ",11/02/2018,east
" $1,764.00 ",11/02/2018,west
" $1,758.00 ",12/02/2018,north
" $1,608.00 ",12/02/2018,south
" $1,569.00 ",12/02/2018,east
" $1,653.00 ",12/02/2018,west
" $1,572.00 ",13/02/2018,north
" $1,716.00 ",13/02/2018,south
" $1,773.00 ",13/02/2018,east
" $1,725.00 ",13/02/2018,west
" $1,767.00 ",14/02/2018,north
" $1,710.00 ",14/02/2018,south
" $1,698.00 ",14/02/2018,east
" $1,512.00 ",14/02/2018,west
" $1,746.00 ",15/02/2018,north
" $1,734.00 ",15/02/2018,south
" $1,524.00 ",15/02/2018,east
" $1,614.00 ",15/02/2018,west
" $1,578.00 ",16/02/2018,north
" $1,782.00 ",16/02/2018,south
" $1,527.00 ",16/02/2018,east
" $1,752.00 ",16/02/2018,west
" $1,785.00 ",17/02/2018,north
" $1,689.00 ",17/02/2018,south
" $1,641.00 ",17/02/2018,east
" $1,575.00 ",17/02/2018,west
" $1,644.00 ",18/02/2018,north
" $1,674.00 ",18/02/2018,south
" $1,551.00 ",18/02/2018,east
" $1,737.00 ",18/02/2018,west
" $1,563.00 ",19/02/2018,north
" $1,647.00 ",19/02/2018,south
" $1,605.00 ",19/02/2018,east
" $1,539.00 ",19/02/2018,west
" $1,698.00 ",20/02/2018,north
" $1,575.00 ",20/02/2018,south
" $1,500.00 ",20/02/2018,east
" $1,551.00 ",20/02/2018,west
" $1,737.00 ",21/02/2018,north
" $1,542.00 ",21/02/2018,south
" $1,665.00 ",21/02/2018,east
" $1,548.00 ",21/02/2018,west
" $1,635.00 ",22/02/2018,north
" $1,632.00 ",22/02/2018,south
" $1,668.00 ",22/02/2018,east
" $1,764.00 ",22/02/2018,west
" $1,533.00 ",23/02/2018,north
" $1,563.00 ",23/02/2018,south
" $1,641.00 ",23/02/2018,east
" $1,773.00 ",23/02/2018,west
" $1,629.00 ",24/02/2018,north
" $1,698.00 ",24/02/2018,south
" $1,725.00 ",24/02/2018,east
" $1,722.00 ",24/02/2018,west
" $1,596.00 ",25/02/2018,north
" $1,710.00 ",25/02/2018,south
" $1,635.00 ",25/02/2018,east
" $1,659.00 ",25/02/2018,west
" $1,686.00 ",26/02/2018,north
" $1,533.00 ",26/02/2018,south
" $1,524.00 ",26/02/2018,east
" $1,530.00 ",26/02/2018,west
" $1,665.00 ",27/02/2018,north
" $1,695.00 ",27/02/2018,south
" $1,578.00 ",27/02/2018,east
" $1,620.00 ",27/02/2018,west
" $1,767.00 ",28/02/2018,north
" $1,593.00 ",28/02/2018,south
" $1,743.00 ",28/02/2018,east
" $1,557.00 ",28/02/2018,west
" $1,668.00 ",01/03/2018,north
" $1,782.00 ",01/03/2018,south
" $1,527.00 ",01/03/2018,east
" $1,668.00 ",01/03/2018,west
" $1,635.00 ",02/03/2018,north
" $1,569.00 ",02/03/2018,south
" $1,746.00 ",02/03/2018,east
" $1,773.00 ",02/03/2018,west
" $1,539.00 ",03/03/2018,north
" $1,500.00 ",03/03/2018,south
" $1,569.00 ",03/03/2018,east
" $1,557.00 ",03/03/2018,west
" $1,773.00 ",04/03/2018,north
" $1,644.00 ",04/03/2018,south
" $1,614.00 ",04/03/2018,east
" $1,674.00 ",04/03/2018,west
" $1,533.00 ",05/03/2018,north
" $1,653.00 ",05/03/2018,south
" $1,557.00 ",05/03/2018,east
" $1,746.00 ",05/03/2018,west
" $1,719.00 ",06/03/2018,north
" $1,719.00 ",06/03/2018,south
" $1,659.00 ",06/03/2018,east
